n_count(c_top);n_count(r_not(r_identity(c_primitive(visited,0))));n_count(c_primitive(visited,0));b_empty(c_and(c_primitive(visited,0),c_primitive(visited_g,0)));n_count(r_restrict(r_primitive(connected,0,1),c_primitive(visited,0)));b_empty(c_and(c_primitive(at-robot,0),c_primitive(visited_g,0)));n_count(c_not(c_primitive(place,0)));n_concept_distance(c_top,r_top,c_bot);n_count(r_compose(r_primitive(connected,0,1),r_primitive(connected,0,1)));b_empty(c_top);b_inclusion(c_primitive(visited,0),c_primitive(at-robot,0));n_count(c_all(r_primitive(connected,0,1),c_primitive(place,0)));b_empty(c_all(r_primitive(connected,0,1),c_primitive(visited,0)));n_count(c_all(r_top,c_primitive(visited,0)));n_count(c_not(c_primitive(visited,0)));n_count(c_diff(c_primitive(place,0),c_primitive(visited,0)));n_count(r_not(r_identity(c_top)));n_count(c_all(r_top,c_primitive(place,0)));b_inclusion(c_primitive(visited_g,0),c_primitive(visited,0));b_empty(c_not(c_primitive(place,0)));n_concept_distance(c_primitive(at-robot,0),r_primitive(connected_g,0,1),c_primitive(visited_g,0));n_concept_distance(c_primitive(visited,0),r_primitive(connected,0,1),c_primitive(visited_g,0));n_count(c_or(c_primitive(at-robot,0),c_primitive(visited_g,0)));n_count(r_restrict(r_top,c_primitive(visited,0)));b_empty(c_all(r_top,c_primitive(visited,0)));n_count(r_restrict(r_top,c_primitive(place,0)));n_count(c_diff(c_primitive(visited,0),c_primitive(visited_g,0)));b_inclusion(c_primitive(place,0),c_primitive(visited,0));b_inclusion(c_not(c_primitive(visited,0)),c_primitive(visited_g,0));n_concept_distance(c_primitive(at-robot,0),r_primitive(connected,0,1),c_primitive(visited_g,0));n_count(r_not(r_identity(c_primitive(place,0))));n_count(c_some(r_primitive(connected,0,1),c_primitive(visited,0)));b_inclusion(c_primitive(at-robot,0),c_primitive(visited_g,0));b_inclusion(c_primitive(visited,0),c_primitive(visited_g,0));n_count(c_diff(c_primitive(visited,0),c_primitive(at-robot,0)));n_count(c_some(r_primitive(connected,0,1),c_primitive(visited_g,0)));n_count(c_diff(c_primitive(place,0),c_primitive(at-robot,0)));n_count(c_some(r_primitive(connected,0,1),c_primitive(at-robot,0)));n_concept_distance(c_primitive(visited,0),r_primitive(connected_g,0,1),c_primitive(visited_g,0));b_empty(c_bot);n_count(r_not(r_identity(c_primitive(at-robot,0))));n_count(r_top);n_count(c_primitive(place,0));n_count(r_not(r_primitive(connected,0,1)));n_count(c_not(c_primitive(at-robot,0)));n_count(r_restrict(r_primitive(connected,0,1),c_primitive(place,0)));n_count(c_all(r_primitive(connected,0,1),c_primitive(visited,0)));n_count(r_primitive(connected,0,1));n_count(c_or(c_primitive(visited,0),c_primitive(visited_g,0)));b_empty(c_not(c_primitive(visited,0)))
36;1266;30;0;102;1;0;2147483647;232;0;0;36;0;0;6;6;1260;36;1;1;2147483647;0;2;1080;1;1296;29;0;0;4;1260;35;0;0;29;3;35;4;0;1;1295;1296;36;1176;35;120;22;120;30;0
36;1264;32;0;107;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;2;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;25;120;32;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;1;1260;36;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;25;120;32;0
36;1261;35;0;116;1;0;2147483647;232;0;0;36;0;0;1;1;1260;36;1;1;2147483647;0;2;1260;1;1296;34;0;0;6;1260;36;0;0;34;3;35;3;0;1;1295;1296;36;1176;35;120;32;120;35;0
36;1265;31;0;107;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;6;1260;35;0;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;25;120;31;0
36;1263;33;0;110;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;6;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;8;1260;36;0;0;31;3;35;2;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1264;32;0;107;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;5;1260;36;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;23;120;32;0
36;1262;34;0;115;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;4;1260;36;0;0;33;3;35;4;0;1;1295;1296;36;1176;35;120;31;120;34;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;5;1260;36;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;24;120;32;0
36;1262;34;0;115;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;2;1260;36;0;0;33;3;35;4;0;1;1295;1296;36;1176;35;120;31;120;34;0
36;1262;34;0;115;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;6;1260;36;0;0;33;3;35;3;0;1;1295;1296;36;1176;35;120;31;120;34;0
36;1263;33;0;110;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;3;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;26;120;33;0
36;1265;31;0;105;0;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;0;0;1;1116;1;1296;30;0;0;0;1260;36;1;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;25;120;31;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;3;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1265;31;0;104;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;7;1260;35;0;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;26;120;31;0
36;1262;34;0;115;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;4;1260;36;0;0;33;3;35;4;0;1;1295;1296;36;1176;35;120;31;120;34;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;1;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;25;120;32;0
36;1265;31;0;106;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;1;1260;36;0;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;24;120;31;0
36;1265;31;0;105;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;4;1260;36;0;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;23;120;31;0
36;1264;32;0;110;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;2;1260;36;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1265;31;0;104;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;1;1260;36;0;0;30;3;35;4;0;1;1295;1296;36;1176;35;120;22;120;31;0
36;1263;33;0;112;0;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;0;0;1;1188;1;1296;32;0;0;0;1260;36;1;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1263;33;0;111;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;7;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;27;120;33;0
36;1265;31;0;106;0;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;0;0;1;1116;1;1296;30;0;0;0;1260;36;1;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;23;120;31;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;5;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1263;33;0;110;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;5;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;26;120;33;0
36;1263;33;0;111;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;2;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1262;34;0;113;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;7;1260;36;0;0;33;3;35;3;0;1;1295;1296;36;1176;35;120;29;120;34;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;6;1260;35;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;32;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;7;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1263;33;0;111;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;6;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;27;120;33;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;7;1260;36;0;0;31;3;35;2;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1262;34;0;113;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;3;1260;36;0;0;33;3;35;3;0;1;1295;1296;36;1176;35;120;29;120;34;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;4;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1264;32;0;109;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;7;1260;36;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1262;34;0;115;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;5;1260;36;0;0;33;3;35;3;0;1;1295;1296;36;1176;35;120;31;120;34;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;1;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1262;34;0;114;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;8;1260;36;0;0;33;3;35;2;0;1;1295;1296;36;1176;35;120;30;120;34;0
36;1264;32;0;110;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;6;1260;36;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;27;120;32;0
36;1264;32;0;109;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;4;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;4;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1264;32;0;109;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;3;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;25;120;32;0
36;1264;32;0;109;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;6;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;25;120;32;0
36;1264;32;0;107;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;4;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;23;120;32;0
36;1263;33;0;110;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;6;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1263;33;0;112;0;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;0;0;1;1188;1;1296;32;0;0;0;1260;36;1;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1265;31;0;104;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;3;1260;36;0;0;30;3;35;4;0;1;1295;1296;36;1176;35;120;22;120;31;0
36;1266;30;0;101;1;0;2147483647;232;0;0;36;0;0;6;6;1260;36;1;1;2147483647;0;2;1080;1;1296;29;0;0;1;1260;36;0;0;29;3;35;3;0;1;1295;1296;36;1176;35;120;19;120;30;0
36;1262;34;0;113;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;3;1260;36;0;0;33;3;35;4;0;1;1295;1296;36;1176;35;120;31;120;34;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;5;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;5;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1264;32;0;107;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;2;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;23;120;32;0
36;1268;28;0;96;0;0;2147483647;232;0;0;36;0;0;8;8;1260;36;1;1;0;0;1;1008;1;1296;27;0;0;0;1260;35;1;0;27;3;35;3;0;1;1295;1296;36;1176;35;120;18;120;28;0
36;1263;33;0;111;0;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;0;0;1;1188;1;1296;32;0;0;0;1260;36;1;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;29;120;33;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;1;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;24;120;32;0
36;1263;33;0;110;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;4;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1265;31;0;106;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;3;1260;36;0;0;30;3;35;4;0;1;1295;1296;36;1176;35;120;24;120;31;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;3;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1262;34;0;115;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;3;1260;36;0;0;33;3;35;2;0;1;1295;1296;36;1176;35;120;32;120;34;0
36;1261;35;0;117;1;0;2147483647;232;0;0;36;0;0;1;1;1260;36;1;1;2147483647;0;2;1260;1;1296;34;0;0;5;1260;36;0;0;34;3;35;4;0;1;1295;1296;36;1176;35;120;33;120;35;0
36;1265;31;0;105;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;5;1260;34;0;0;30;3;35;4;0;1;1295;1296;36;1176;35;120;27;120;31;0
36;1266;30;0;103;1;0;2147483647;232;0;0;36;0;0;6;6;1260;36;1;1;2147483647;0;2;1080;1;1296;29;0;0;3;1260;36;0;0;29;3;35;2;0;1;1295;1296;36;1176;35;120;20;120;30;0
36;1266;30;0;101;1;0;2147483647;232;0;0;36;0;0;6;6;1260;36;1;1;2147483647;0;2;1080;1;1296;29;0;0;4;1260;36;0;0;29;3;35;3;0;1;1295;1296;36;1176;35;120;21;120;30;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;3;1260;36;0;0;32;3;35;2;0;1;1295;1296;36;1176;35;120;28;120;33;0
36;1263;33;0;111;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;5;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;27;120;33;0
36;1266;30;0;102;1;0;2147483647;232;0;0;36;0;0;6;6;1260;36;1;1;2147483647;0;2;1080;1;1296;29;0;0;4;1260;34;0;0;29;3;35;4;0;1;1295;1296;36;1176;35;120;24;120;30;0
36;1265;31;0;105;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;5;1260;35;0;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;25;120;31;0
36;1263;33;0;111;0;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;0;0;1;1188;1;1296;32;0;0;0;1260;36;1;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;27;120;33;0
36;1263;33;0;111;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;3;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;27;120;33;0
36;1265;31;0;106;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;3;1260;35;0;0;30;3;35;4;0;1;1295;1296;36;1176;35;120;26;120;31;0
36;1264;32;0;107;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;5;1260;36;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1265;31;0;107;1;0;2147483647;232;0;0;36;0;0;5;5;1260;36;1;1;2147483647;0;2;1116;1;1296;30;0;0;1;1260;36;0;0;30;3;35;3;0;1;1295;1296;36;1176;35;120;24;120;31;0
36;1264;32;0;109;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;7;1260;35;0;0;31;3;35;3;0;1;1295;1296;36;1176;35;120;27;120;32;0
36;1264;32;0;110;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;3;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;27;120;32;0
36;1264;32;0;106;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;2;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;23;120;32;0
36;1262;34;0;113;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;8;1260;36;0;0;33;3;35;2;0;1;1295;1296;36;1176;35;120;29;120;34;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;3;1260;36;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;29;120;33;0
36;1261;35;0;117;1;0;2147483647;232;0;0;36;0;0;1;1;1260;36;1;1;2147483647;0;2;1260;1;1296;34;0;0;4;1260;36;0;0;34;3;35;4;0;1;1295;1296;36;1176;35;120;33;120;35;0
36;1267;29;0;98;1;0;2147483647;232;0;0;36;0;0;7;7;1260;36;1;1;2147483647;0;2;1044;1;1296;28;0;0;3;1260;35;0;0;28;3;35;4;0;1;1295;1296;36;1176;35;120;20;120;29;0
36;1264;32;0;108;1;0;2147483647;232;0;0;36;0;0;4;4;1260;36;1;1;2147483647;0;2;1152;1;1296;31;0;0;5;1260;36;0;0;31;3;35;4;0;1;1295;1296;36;1176;35;120;26;120;32;0
36;1262;34;0;113;1;0;2147483647;232;0;0;36;0;0;2;2;1260;36;1;1;2147483647;0;2;1224;1;1296;33;0;0;2;1260;36;0;0;33;3;35;4;0;1;1295;1296;36;1176;35;120;29;120;34;0
36;1260;36;0;120;1;0;2147483647;232;0;0;36;0;36;0;0;1260;36;1;1;2147483647;0;2;1296;0;1296;35;1;1;3;1260;36;0;0;35;3;35;3;0;1;1295;1296;36;1176;35;120;36;120;36;1
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;4;1260;35;0;0;32;3;35;4;0;1;1295;1296;36;1176;35;120;30;120;33;0
36;1266;30;0;103;0;0;2147483647;232;0;0;36;0;0;6;6;1260;36;1;1;0;0;1;1080;1;1296;29;0;0;0;1260;36;1;0;29;3;35;3;0;1;1295;1296;36;1176;35;120;21;120;30;0
36;1263;33;0;112;1;0;2147483647;232;0;0;36;0;0;3;3;1260;36;1;1;2147483647;0;2;1188;1;1296;32;0;0;1;1260;36;0;0;32;3;35;3;0;1;1295;1296;36;1176;35;120;28;120;33;0
